year,XN
1750,0.00910463226602599
1751,0.0137965721529547
1752,0.0136842580851238
1753,0.00915297401276657
1754,0.00145804588304173
1755,-0.0113659376454124
1756,-0.0575592530530391
1757,-0.0711095921675011
1758,-0.062688836686012
1759,-0.045346145711201
1760,-0.0274331153616448
1761,-0.0139848226318984
1762,-0.135040265960835
1763,-0.192586185559614
1764,-0.186621465573876
1765,-0.163800249167026
1766,-0.196237602143246
1767,-0.221162183865758
1768,-0.196900934493389
1769,-0.15433368237128
1770,-0.13632780794034
1771,-0.113420255077149
1772,-0.0880861132190857
1773,-0.0689827952529823
1774,-0.0579130271986797
1775,-0.0533092993357172
1776,-0.0521723485197423
1777,-0.0507171929207167
1778,-0.0440187414887115
1779,-0.0300224669560635
1780,-0.0139882489629347
1781,-0.00168641888056977
1782,0.00480141111531224
1783,-0.221158153863136
1784,-0.589579266829391
1785,-0.649812483169349
1786,-0.606419716816122
1787,-0.519262775384493
1788,-0.417583269717466
1789,-0.320098674223926
1790,-0.238849877363631
1791,-0.177340381871713
1792,-0.132105786453641
1793,-0.101051959566658
1794,-0.0815024620712646
1795,-0.0710051833740226
1796,-0.0911975060760077
1797,-0.125579489383567
1798,-0.135460605862928
1799,-0.128603039146054
1800,-0.115645334681234
1801,-0.100116236912094
1802,-0.0840887901637833
1803,-0.0694523557791233
1804,-0.0578442763047728
1805,-0.0499209895442337
1806,-0.0455535102305269
1807,-0.044596658269588
1808,-0.0464531168658789
1809,-0.487754044857981
1810,-0.709875265068766
1811,-0.68870562633387
1812,-0.592973215117282
1813,-0.488452772111454
1814,-0.395549016313243
1815,-0.732196340881742
1816,-1.12235794726273
1817,-1.10333396220349
1818,-0.94789800257805
1819,-0.77684352075716
1820,-0.628583603987955
1821,-0.52550807817645
1822,-0.448814119434556
1823,-0.437020564850612
1824,-0.389133976090382
1825,-0.330871696795869
1826,-0.275089301064404
1827,-0.226743632163044
1828,-0.187748926545496
1829,-0.15845392738295
1830,-0.138064961031902
1831,-0.432184469618027
1832,-0.543345218980932
1833,-0.514116837158888
1834,-0.445711646001704
1835,-0.605410910635659
1836,-0.643215479949522
1837,-0.566879855615883
1838,-0.466536240454058
1839,-0.37647441271832
1840,-0.305015867963733
1841,-0.252495626725602
1842,-0.215852151245595
1843,-0.191146304516201
1844,-0.174220260432013
1845,-0.161146562450645
1846,-0.1826679281378
1847,-0.186137070053283
1848,-0.173398669061777
1849,-0.156565451249028
1850,-0.140089092473396
1851,-0.127338074391885
1852,-0.118390590816797
1853,-0.141641917463396
1854,-0.162339211603384
1855,-0.159917568540753
1856,-0.156409533333195
1857,-0.177525317478049
1858,-0.172721040205116
1859,-0.156686709613354
1860,-0.139181658198623
1861,-0.136220053806903
1862,-0.240541581296044
1863,-0.268711900962701
1864,-0.250062856695598
1865,-0.220575340770267
1866,-0.193348367087951
1867,-0.171388186574572
1868,-0.152783925750462
1869,-0.136083006186298
1870,-0.12296487988992
1871,-0.111440630101461
1872,-0.103464463416193
1873,-0.134086283969049
1874,-0.138332187828811
1875,-0.141072276566026
1876,-0.140863918044885
1877,-0.134612900448695
1878,-0.127876385927372
1879,-0.121759482530654
1880,-0.121784879476091
1881,-0.120102861059854
1882,-0.112243237595527
1883,-0.174971548062576
1884,-0.415013631102951
1885,-0.45577850640411
1886,-0.414041593520471
1887,-0.375812816910708
